brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
BMW,318 Touring,Break,1995,111,12305,0, 1.50 ,24395
Land Rover,Range Rover Evoque,4x4,2179,110,97000,0, 4.67 ,22450
Peugeot,308,Compacte,1560,82,105550,0, 5.70 ,8490
Renault,Duster,4x4,1598,77,101,0, 0.08 ,12500
Kia,Rio,Berline,1248,63,70000,0, 6.00 ,7249
Peugeot,2008,4x4,1560,73,11500,0, 1.24 ,17699
Fiat,500,Berline,1242,51,37000,0, 3.58 ,8900
Toyota,Hilux,Monovolume/Camionnette,2986,70,101,0, 0.08 ,36500
Ford,Ka,Compacte,1299,51,21500,0, 1.83 ,6700
Peugeot,3008,Compacte,1560,85,2500,0, 0.33 ,28490
Fiat,Tipo,Berline,1560,88,21366,0, 1.47 ,12998
Opel,Mokka,4x4,1400,103,10000,0, 1.33 ,21987
